,id,text
160,1575216341920907266,loonylobster storygal thinkingshhh brutusmaximusx ldmac oprah harry meghan turned title archie thought would bullied title dumbarton kid would call dumb mouthpiece said wanted archie normal life possible http co hb ipiutk
163,1575216275097538561,democracyslap treasure_mn kobusbadenhorst hermanmashaba mmc transport cityofjoburgza our_da well pa felt bullied look arrogance got da
168,1575216176912732160,sweetest boy earth still get bullied crime
171,1575216094457245698,machinebabygun http co ly jzzlti please feel bullied lmaodksnjskam
173,1575216076383997952,canellelabelle happy proud ha bullied year privately educated oxford graduate silenced good role model girl woman
184,1575215926764503058,ppl sayin taylor clout chasin bcuz dont understand favor pure heart ha divine favor endured rejected bullied ppl misjudged st sight yet showed grace amp extended love hated without cause divine favor bb http co pinmp jt w
187,1575215874776375296,imagine getting bullied life break bone person get word patience listen tolerate rubbish
188,1575215860549308416,sophielouisecc laughing encouraging humiliation young girl pretty distasteful someone allegedly bullied conservative party fact presenter descended straw manning holiday talk show climate denier really leg stand
190,1575215821630103554,always good wa never thinking malicious whole thing like never lied nobody bullied nobody prejudice process
191,1575215766659633153,court pain alienated life saved dad six year fight kid bullied terrorised criminalised traumatised lost http co qysi xnuwu medium http co hnui aiycb
194,1575215762394218496,christian burys feel headline today automaticlawofprotection needed protect people bullied treated like continue
195,1575215740961300481,stillgray got bullied shit like
196,1575215676297719808,frankie laughing like crazy person child cry going bullied
197,1575215588284469248,knealieee got bullied organisation stuck see fake shit call others go people like fine drive people corner free wish
199,1575215539617529856,realityshitsho bbfan dg bullied someone getting back keep tear something else
208,1575215336194179074,month back maga cop two different sheriff office bullied kid wife arrested politics well lodged complaint letitia james office spoke investigator meeting next week tell story http co n bkxty yk
210,1575215289339613184,popbase bullying year old well meghan bullied year old vibe
211,1575215288114876417,theanswer _ thenbacentral mattbrooksnba ive never send get bullied defensively
212,1575215264928772096,noconcept nickforva nominally agree high school ninety bullying involves isolating target get bullied clique back kid day lot avenue find connect harder isolate
213,1575215255957000192,ur religious marxist probs gon na get bullied revolution couldnt care le ur religious put ur head organise must prove worth deed hypothetical yk
217,1575215190752530432,germaneagle_ get bullied telling truth http co zsjfujt
220,1575215136134279168,spideywil dwight people wan na oppressed badly understand bullied stark difference bullied v oppressed
222,1575215108862935041,always getting bullied wdf
227,1575214922518056960,uberfacts anthony bourdain bad mouthed bullied countless folk heartbreak suicide wa unreal get http co sfpnfpiboo
235,1575214698647076864,picture tell thousand word considering people get bullied twitter appropriate http co okydn q b
242,1575214557311930368,drericding karl_lauterbach sorry say mask mandatory class germany kid bullied wearing mask even teacher people deny care covid get sick every wave despise everyone still wearing mask even get violent querdenker
243,1575214529788911616,citizensadvice ha asked accept judge ruling also think wasnt entitled benefit think partner proved never lived feel bullied intimidation yr
244,1575214524319338496,jw palpaul everett_michele yes ithats delted acount wa bullied amd threatend x
245,1575214478932594688,ronnyjacksontx still trying bully http co iy pzw
257,1575214193623855104,afp guess bitch slap usa wa loud enough erdogan always claiming mighty leadership bullied around
263,1575214038367469569,bullying work yall obviously staley look medium mf got bullied pussy th got bullied making salyer starting lt
264,1575214030582521856,ajamubaraka family visited ukraine relative late felt terrifying bullied bc grandfather fled draft wwii pressure bring turn friend amp family member wa welcome back unable stay overnight anyone home per regeim govt welcoming
266,1575214018738163713,zoldy supadupaugandas fredboulderdash ispuuuv actually curious like yank got mad butthurt bullied navy private account lmao
272,1575213830304505856,seanoconnz seems like every day conman tweet dumbest shit officially bullied online
273,1575213829864071168,people tired hearing colorism get huffy dark skinned people want hear cry bullied good hair see eye please
275,1575213809102458881,lostjudgment yep definitely bullied child http co zcpyoqltd
276,1575213799124017152,im really bad day love bullied
277,1575213798834716674,stxwelsh completely sorry may quickly read tweet museumsassoc research bullying respondent said bullied result belonging protected group research also highlighted high turnover rate talent loss sector
279,1575213709009780737,sivirprincess wa bullied younger classmate weird kid avoid trouble ranting void twitter
280,1575213707575013376,danielp got bullied young overall great
282,1575213632421785601,regret purposely spelling bee would always v last person id spell wrong purpose bc wa scared screen everyone watch spell messed wa scared would get bullied
285,1575213599881977856,wa bullied everyone school well weird
287,1575213554579357697,bullied fg ncdc police cbn amp cbn governor former minister anty kemi efcc amp want bully ndlea social medium ehn gone nut ori e yi unfortunate parenthood envy future meanwhile loser
288,1575213543430897667,minute already getting bullied man leaving http co gxicmpueja
290,1575213530588090373,foodbad wa bullied lot weight little kid want fit one girl boy like
291,1575213526054211584,jakeniemeyer joluehmann jakeniemeyer nazi eschewed christianity weak link aryan vision resurgent germany preyed narrow nationalistic hope christian people either bullied deceived german church compliance confessing church held fast sufferd
292,1575213447121633281,ts_oluwatobi fbilash segun_odunayo said turn bullied party member get ticket
294,1575213347607547904,jameslewistz everyone get bullied saw game bunny pinned new level think wa possible
299,1575213314652897280,joke land sudden air smell like back th grade getting bullied autistic tendency even realize displaying
300,1575213293400047616,bullied group learn people bullied make group sanction nothing buy something store banned get friend buy pipeline sabotage russia leaving short list possibility http co bsqacicn
301,1575213292938633216,wa bullied school made aiba feel bad know
304,1575213249661894657,t_voyageant giantmeatgang friendrryy tmackenzieh josephabdin tweet wrong wa taylor bullied buying selling dear
305,1575213239092510720,practice harder nearly bullied enough bully bully bruce twin brother brice lie cause best duh http co yhatndfaxw
308,1575213205982367744,sarahj_mw sheena_byrom millihill dominiquemylod maternity nothing said unkind one beyond reproach shame however mean spirited unkind unnecessary someone ha vocal bullied online inappropriate tone
309,1575213186936057856,luke bullied http co qpy al nzs
310,1575213184700514307,narindertweets bullied horrible person nothing colour know make true geordie look bad true racist always playing race card thing never change
311,1575213172403085312,katienicholl princeofwhaiez george child believe know stirring giant vat crap kind spiteful adult set child bullied new school
313,1575213095378911233,mention many time got straight bullied posting dream main absolutely ridiculous http co yflldls qg
316,1575212990856859649,ducksonquack get bullied bunny
317,1575212901190680576,proanaextaciee sleeping_corgi lovexme fatfabfeminist saying people lose weight bullied logic order combat discrimination bullying people change thing others like
322,1575212741983227904,boltupherbert completely honest thought staley wa gon na start norton give b speech worked hard practice something glad got bullied making right choice
323,1575212734324428800,lgalauner zelenskyyua giorgiameloni bullied people allowed opinion
325,1575212656734375936,starr jae munyairudzani oochotd bad wa told ally crispin make sense wa bullied boy approaching dragon like dreamfye interested daemon kid involved book joff zero right stop aemond
328,1575212626522537987,humberbeat_nl rather eat pubes coffee lot mob like one bridlington cop shop one wa deffo bullied school power trip yousaidandwewillvirtuesignal http co iywvawky
330,1575212548324200448,first sight lol wa ost k drama wa playing wa female lead left school wa bullied night wa always
333,1575212481727041537,noprojector amzayyas bullied anna
335,1575212460264501248,billybartells bernsyholmes lol still smart mouth little kid defend wa getting bullied playground run im sure
336,1575212452165345287,omiller orla owenjones think case child coming harm dying due picked family find embarrassing admit struggling kid bullied taking free meal afford get
340,1575212373228814336,nash_opqrs u shouldve bullied middle school
343,1575212301283905537,bigtiff didnt say entire point based fact people agree bullied wa disgusting unnecessary disagreement point rest conversation
344,1575212269763710976,psychoiuvr want get bullied together
348,1575212182286893057,mine would gifted kid got bullied classmate burned disappointment got bullied art agent ran away web old weirdo drift around different country proper place call home owning really good digital gadget drawing tool http co kwfpvhidou
350,1575212151136223232,youtube bullied got youtube premium
353,1575212087667990528,get bullied girl absolutely perfect comic living rent free head artist comicbookcover todayswebtoon http co hughb vb http co bmthpsicfj
355,1575212069787693056,alone much better bullied continuously
357,1575211973054177280,never ever bullied someone
362,1575211937121832960,toxicraineee bc getting bullied match
363,1575211936048123904,cubbycub paddycosgrave part sf occurred missing also waterboarding charge wa garda found video usb key fact matter left sf first claiming health reason claiming bullied doubt much
366,1575211879961882625,daily_record honestly judgemental hateful comment yr old appalling wonder princess diana would say one know context please leave alone king charles wa bullied say actually happening leave clearly loving parent
368,1575211864023511040,jim_jordan florida desantis offered bonus get new police officer dying covid wa hoax short teacher like bullied amp told use buddy text book grifter
369,1575211822986145792,jordan queenb storiesbyjemay mailonline huge heartache harry bullied woman grave
371,1575211783211864064,psychoiuvr got ta shrink tho already getting bullied
372,1575211772755161088,reallorraine past childhood wa tough bringing tough school bullied way bad got end tunnel confidents past scar craigdavid
373,1575211736625397760,kraft_mutabazi bible aside minute jodi picoult self help story bullied child come back shoot bully people show make monster
374,1575211730875346944,first time wa bullied school wa lol guy ganged beat front class dinner reason maybe co wa little everybody wa watching particular stood fought leader gang wa love http co dome pffy
375,1575211691515617280,ghoststories___ u got bullied lee sin guy haha
378,1575211632354988033,itsrichielee bloodofolympus donteta ahmedomoarsenal sportbible got bullied pal get mad
384,1575211503350784001,want respect respect easy complain committing suicide grow complain bullied act victim victimize claiming good know
385,1575211443003146240,separately suspended asian mp swiftly happened app group lot bullied diana abbot
391,1575211276154064896,mnateshyamalan ok name making stronger never bullied anyone give try let google successful bully get back
392,1575211274870616065,richardaeden mailplus luckily meghan bullied yet could ended badly
395,1575211205395881984,knesix special place hades people drag kid adult thing kid end bullied abused going offer katie cool drink water
398,1575211173531684864,next night orphanage mundek love true child ha killed sheila love pardon mundek telling secret sister bullied jildawa love stoop child mundek nothing make go wrong
399,1575211166305255424,mjblair apparently charles wa quite bullied school
400,1575211147334393857,getting bullied discord simply femboy hurt
401,1575211121250009088,kot getting bullied kid funny http co wrspttvpw
403,1575211099456409605,get picked picked bullied pretty much wa born bro wa favorite always http co vj eunvro
404,1575211089289416705,maidofclava got poll losing work happened time bullied manager younger man put fist toilet door hurt hell left alone
407,1575210995395735552,fu_soya hrrysgreysuit litterally lied contradict timea oprah threatened queen cut staff palace poc spoke bullied harrased staff reveal name course chose defend lier bully suit
409,1575210921466949632,kid unnoticeable even bullied grew hot cool asf aesthetic coolest group friend popular mean girl still blonde side part skinny jean year later one know except highschool bsf im sorry
410,1575210880169803776,tyzthephoenix fupayme kweenkels chan much daquandsg beautiful woman shattered men bullied child teenage year come saying woman look like plssss
412,1575210815338455040,maggiemobrules ha bullied u
413,1575210787966447616,closest ever gotten equality wa redhead got bullied bc parent getting divorced http co nzobezuv
414,1575210724984356864,pempheromphande cnbci daughter gon na bullied school nonsense posting
418,1575210688741806080,markwillsmusic song always heart cause got bullied still one absolute favorite song day
421,1575210653912276992,alright asking get bullied http co uxrfjuunv
423,1575210639886544897,recordhead anybody simps serial killer simply got ta publicly bullied fr
424,1575210582801776642,mattvallone honestly struggling think many democrat know give shit foreign policy unless course someone bullied human right crisis trying poke anyone eye seems
430,1575210482100998144,blink worst fandom seen life put one member line vote ended losing bullied rookie going solo first made person apologize birthday injured made sure member felt unloved exactly blackpinkdisband
432,1575210473812787217,time around suicide happened closer home always heartbreaking read child depressed bullied worse wa son classmate feel completely different like someone punched gut
433,1575210456750620672,schoolhouse got homeschooled christian fundamentalist cult cuz parent racist got bullied lot public school homeschool cooperative smh
435,1575210446126186573,town would never bullied storm named ian say thing queen city soft http co gmgvp
436,1575210443354025984,haema_cari oh yeah know kele upset bullied easy temperament think hilarious even think zzh spinning http co j gkzwm
441,1575210355852136448,people deserve bullied leaving server sure like friend im tryna exist space like im grown lmfao continue weird hater http co fe
442,1575210340173742080,jocelyn_jjf mylife reason dad choose wanted christian school nothing quality got way behind brother wa bullied committed suicide moved went public school reason always good
444,1575210322742448128,fupayme kweenkels chan much daquandsg know getting money much sit home talk woman look like cause look like two lady beautiful got much time yo hand judging people look kermit pfp know bullied
446,1575210295718715393,yet see ccp loving westerner paid rmb amp creep chick guy real social life amp never always weird loser likely bullied like thecyrusjanssen hence anti west yellow fever driven incel rage http co rqzdrhvpr
448,1575210262323679232,everywhere go bullied http co rzekvc j g
450,1575210237925404672,atpeterex iamzeedacutest bullied j escaped queer advance made think macho wa way god anybody wey go grass cutting university fit relate
452,1575210216202784769,greynvbr meghan sugar bullied kate william kid anyways
455,1575210149886988288,spewmytinysymph ever bullied
459,1575210091384475649,person youve never met life yall got bullied lmfao
460,1575210081276547072,love hear comment toxic twat face jongaunt bullied il amp sn relentlessly sure forthcoming view http co qnoivwuw
461,1575210033964797952,thejjcltd worked company many year wa badly bullied ended leave company break went speak management turned back interested wa going ill treatment w
463,1575209984375554048,mom noticing cut nd fear think im getting bullied
464,1575209971439935488,basically bullied weakling feel nice
469,1575209864585879552,k_susuwoo rlly dont wan na miss u trust overcome wa point tw jump front train end live ive bullied half life even old friend bulied
470,1575209856436686849,starr jae munyairudzani oochotd yh circumstance bad wa constantly bullied saw opportunity silence fair wa raised insensitive
472,1575209823175462912,hrh_william_ need know context kid still immature parent teacher one whose supposed teach young still process learning making mistake putting story public result kid bullied adult
480,1575209778782928896,anyone gon na get folk saying vote taken granted black voter bullied falling line http co xkspcm eyl
481,1575209752530890752,miss_nikola cherrymavrik small get bullied
486,1575209721019367425,everyone want ginger wa kid got bullied skin hair crazy
488,1575209689234649089,jugglingbullies yes please wa bullied school child experienced time x true word stick x finger crossed x
491,1575209610436542464,oocpokemon weldeo watched keldeo movie wa kid felt bad legendaries bullied
492,1575209591650283520,wind pushing feel like bullied lol
493,1575209586591551488,lookie mister snooty prosecutor ya reckon ya bullied mr wright hard ya start bein lot nicer might kick
497,1575209544329723904,beating star basketball team shoot phys ed bullied year http co wxagfmciss
499,1575209521626386433,cyber bullied http co akrfyznzgh
502,1575209433248190465,partlyc skynewsaust royalfamily absolutely stop reading trash tabloid quoting sussex sue author bullshit worth time book trashed anyone stupid princess charlotte wa never bullied except evil kkkate
505,1575209409902362624,im bullied flesh blood http co p zrq ikmy
506,1575209392752164864,apple time better kid daughter excluded group chat android bullied add
508,1575209344731295744,dmherinya socialfuzzer know people still wearing mask get bullied worse everyone life like virus including politician making extremely dangerous vulnerable older people people want catch like
509,1575209332232187904,feel like im getting bullied phone
512,1575209310161760258,paranoid kid school find potentially lgbt know get bullied
515,1575209229363052544,paulbranditv purple sorry bullied way remember well even though take care carry great work
525,1575208969567543296,olugboyegaadeb davidhundeyin evil man kiki mean person punished crime steal someone gang bullied point almost commited suicide
526,1575208941482835968,mmpadellan medium characterized playing outdoors playing cringing cry probably terrified bullied abused
527,1575208923195641857,pannchoa pannchoa enjoy seeing people bullied eat support family dirty article like let tell something many korean artist died many korean artist died hated
528,1575208920984875009,connoreatspants bullied wear public
532,1575208858569478144,samstein get bullied lot child father hate
539,1575208716055744512,capitalism people bailing bank equivalent bullied child bailing bully
543,1575208663580438529,kirawontmiss hope get bullied
545,1575208658514120704,like dad going grave visit perhaps give part time state job since george would horrified community ha bullied harassed injustice insult people everywhere go http co kmujbdc
548,1575208629703446528,pannchoa dear pannchoa enjoy seeing people bullied eat support family dirty article like let tell something many korean artist died many korean artist died hated earn lot money
554,1575208488938385408,marehoop moskowi nowbz except taylor literally bullied paloma
562,1575208394134523904,jobuwantsrum mean like getting bullied karen folding clothes day guess might fun job ever said fuck going back
574,1575208203788222465,guy done retweeting ulouma babe thread make sure retweet story david oge bullied almost made commit suicide sure article see alot evidence
584,1575208085282762752,got bullied posting old version gt http co vzqv ewqe
586,1575208036989571072,bullied woman reason http co b zkj
589,1575207993339445248,hate break may deserve bullied say much respect possible though http co pspjnmgw u
590,1575207985936502784,self esteem confidence make feel like better force feeding fucking buck shot high school bullied shat people whole fucking life including people thought friend something make
596,1575207930848165888,bullied school culture hell empire loss best part http co pmmbwqibft
599,1575207805677551617,addictionhes bullied everyone family get blogging camera
600,1575207789248811008,ninjala oc fact girl bullied marin year ago would never realize marin would become famous vivi amp setsukari help marin would go create setsukari outfit even outfit issue magazine http co j bmmphid
601,1575207787247783936,espncricinfo great guy bullied pak v ind match nthn
604,1575207765286744064,sheenster_ bradley manlikerahul covenbella think rahul get bullied easy target
606,1575207738556092418,one thing awesome yellowjackets fandom horrible troll bullied melissa mcbride many fan twitter despise woman show sign aging yellowjackets definitely kinda show miss em
608,1575207732957028352,curtishouck remember bullied trump taking cognitive test medium
609,1575207725532954649,lgbtq youth increased risk bullied prepare observe bullying prevention month october read ally transgender nonbinary youth find material others npin database http co jpqdudwlaa http co zlyav ux
610,1575207710492360704,young girl tired picked take loaded gun school bus ohio cop say http co jybzcopesa hold parent accountable gun also school kid bullied harassed picked
613,1575207686815502336,like u retcon wa bullied bad bc size seems xtremely relevant refused fat lead actress screen adaptarions discarded ton necessary canon gross
619,1575207494040793089,hockeygirl realize bullied teammate sexually assaulted team employee team covered logo racist yes
622,1575207392488218624,justintrudeau bodily autonomy bullied u injection want hypocrisy finest
623,1575207357474537472,really hope yall learned important lesson mind business yall bullied tf outta woman amp deadass wrong http co ktpwex n
624,1575207343309979648,hard thing thing taking get car inspected oil changed getting bullied spending money normal know absolutely nothing car
625,1575207319549329410,canellelabelle stop spreading lie yes lie sure catherine ha never bullied marrying prince william year way see meghan bullying charlotte apparently son way demonising someone else spreading misinformation wise
626,1575207302814060545,plot get bullied girl like roller coaster emotion riveting full surprise vhs commisionart manwha http co opx naxsuc http co fx c opsmm
630,1575207249177255937,kri_tweets givethisaspin fact everytime say get bullied everybody
638,1575207146676813824,dsriddle sabriners_ learnedmama youre completely right wa daughter wanted dancer girl teacher bullied bc shape short cut hair share clothes husband never abt superficial thing muted sad person spiteful
639,1575207090682880000,things_royal rewriting princeharry picture man make two look like boy ha woman love side meanwhile two allow meghan bullied
640,1575207086920593408,doe anyone insist calling people know ugly im sorry got bullied high school cant live mean girl fantasy online
642,1575206982968975362,bullied staley making decent roster decision
644,1575206926928908288,adamfare problem one anyways shame needing medication even inhaler guess bullied long enough cause internalized medication shame
646,1575206877163819008,luke hemmings getting bullied michael clifford part http co jdxuktp ac
648,1575206859635826688,los kat feebux asking bullied daddy issue
649,1575206839264116736,wegetitchris spoilergirl unfortunately people harassing acting like barbz taylor even thinking two busy happy also getting bullied think stand kind behavior
650,1575206827272249344,connoreatspants question would get mentally tortured bullied wearing
651,1575206810000072705,nctzenxgos ahh glad arrived safely thanks trusting patient bullied send
652,1575206794334699520,texas_made kid got bullied cause new town put wrestling changed went state putting bully place problem solved
654,1575206756703121408,still awe breathtakingly beautiful chu wanning look bullied one blame mo ran truly http co f spmsjcjg
659,1575206689745223680,sorry gamers longer taking hiatus graduating bc bullied http co ten cd int
662,1575206571864633344,gatekeeping paramore better see people bullied wa middle high school pretending like bc trendy
664,1575206508878446592,tha sosfamily luke bullied boy episode
666,1575206489584648192,cocoa_puffs looked like bullied way talk wa trying enjoy winning moment ever say could waited
667,1575206430189068289,seekenjoyer anyways love backpack def getting bullied
668,1575206427735752704,mikeycycling cloversummers paulocampbell metpoliceuk never knew wa old doe explain lot better literally nothing else comment policeman might aswell comedy gold wannabe fail exam get bullied school http co zr katwzws
671,1575206356591980545,simplykyana_ show going full ppl got bullied signing people interested going get denied
673,1575206352687099904,madraijamu remember medium bullied trump cognitive test http co u sapjehpk
675,1575206331740729344,lakesoflotus awfullymolly doubt wa potato know house card come using look like wa bullied running away coming really hope ifnshe face legal consequence made public really want monkey see
676,1575206315223195648,im getting bullied bia help
680,1575206255043678208,duckwithanf u angry v wtf bullied
682,1575206222860468224,t_voyageant friendrryy alyssa isolated house three month anyone feel bullying feel bullied online turn internet go touch grass
683,1575206207459299329,lad school sharing post alternative girl legit bullied school
686,1575206188538478592,buckleyslaptop magsholt gizmodo except tom bower book another new book expose meghsn lie trashed family trashed rf called british racist snd bullied staff paid pr sunshine sachs perhaps research meghanmarkleistoxic
688,1575206174089060352,let clear absolutely acceptable happens far often perpetrator gutless wonder arsehole highest order angry sad shitty little life http co auwraugg
689,1575206143961444353,globeandmail guy called jewish professor racist objecting anti semitic lunatic heritage hired falsely claimed wa baited bullied seems like real charmer
691,1575206091465453568,reading spyxfamily reading get bullied girl cartoon animefanart mangareader http co xt apyobx http co dbfezwz af
692,1575206074117865473,still got bullied
696,1575205939363586048,nomukiid cocksukr _ know even happens daily life sivter house hold know get bullied bullying around thank much
698,1575205822652551170,girl bullied fuck people worked starbucks w applied one property denied
699,1575205821012590592,specialk refuse bullied anymore app
700,1575205817741025280,sweetpea saffronandsun know fact regardless texan accent still know make sound e rock sound little like ego wa bumped bit said take getting bullied man think texan hillbilly accent sexy
702,1575205760665268225,unino thefightvidz school shoot ok either one justify kid shooting school cause bullied happened know point say deserved bullying
703,1575205737327824896,saycheesedgtl bullied submission alphabet community
704,1575205636283203584,viewmonsterrr cocksukr _ meg show always bullied
708,1575205559803863040,luunimaki stop getting bullied stop making easy admit
709,1575205522248466432,wohenmangmang kookiebunz fr miss sm dav tho bullied much
717,1575205383496691712,literally use people killed police meme racist little mermaid meme likely made anime game nerd love play oh wa bullied school different card much show crazy given chance
718,1575205345500467201,sourav ganguly jay shah bully others get bullied instead http co hfbmuthyhm
719,1575205323920404480,loganpaul mattel saw someone grape prime today school wanted drink sum baaadddd bullied logan
720,1575205315347292164,read za book bit tooooo fast tell single plotline besides girl bullied one guy going jail
721,1575205314856910848,vibhavs viratyt jupiter drsjaishankar wish alliance prc country repeatedly betrayed india trust amp killed indian troop unprovoked throughout india independent history prc bullied india every opportunity got armed pakistan amp continues classic traitor
722,1575205279557296129,strawberrycl change fact bullied wearing cat backpack plush
726,1575205130781478912,gonestalker used friend lez bullied
728,1575205014628605952,scout bit someone charlie threw tantrum wanting work amp hissed teacher archie wa one got bullied amp ha report case midnight skipped class amp set fire alarm stella amp cornelia busy obsessing work http co ilxh apoh
729,1575204935142363136,hell doe twitter disturbing trend short people get bullied tall people need grow mentally got childish behavior http co dir vl anx
