,id,text
1,1575219406581694466,foodbad always bullied sexualized body plus starve people notice give attention attention feel nice ik im wrong wanting people worry health never got love affection much kid
3,1575219369084211201,carlababbvoa jimfraseruk escalation idea jimfraseruk prof nada never bullied last thing taunt one got ta put man tool back pant calm de escalate adult room might want consult nursery room teacher
10,1575219185705066496,middle school getting bullied sry master got go http co milzz b qf
11,1575219156202315777,victorudofia jack_ng anything bro know sure government tolerate business people fold hand watch bullied chill
12,1575219146790359040,hakaze alright acting strange puffy eye cry bullied someone
13,1575219108131393536,wa sitting daddy yall dick rode girl bullied nothing http co e jvzb op
16,1575219086124253184,bitch honestly stfu valid making sexuality person never meet entire life please stfu gon na get bullied hell deserve every last insult http co bjillkof u
17,1575219058391150592,nothing change meangirls senatorwong senkatyg still trying bully paulinehansonoz supporting toxic mehreenfaruqi two woman form amp bullied colleague commit suicide shameonyou auspol http co sqfy nrer
18,1575219032353275905,watching zebra get bullied animal planet rn
19,1575218987851739136,sleeping_corgi proanaextaciee lovexme fatfabfeminist fat activist simply want fat harassed bullied discriminated people encouraging others damage health harassing random fat people anything exist fat individual
22,1575218900178206720,joebucki rsskeptic omarriverosays nah wa bush yes trump former pres bad policy someone ha robbed incited frauded bullied way life rather set good example daughter ethic principle worth candy store visit
23,1575218850081042433,opiemuyo alyssa counterfeit_sol nikko_hill nbcwashington kill bullied abused position matter actively aid people abusing bullying
24,1575218826639450113,nah wa tryna get bullied lmaoo http co mg ydb v
28,1575218772373274631,deal sister getting cyber bullied mature adult way kid day way stupid online threat
35,1575218574209306625,unable twitter bullied petty tweeter lmaoooo bc deleting shit said stand toe ff like bad reason staying lol http co kdlcgwl xb
38,1575218468928237568,pp bullied made fun harrassed shamed amp resented pp sayin mrna enters bloodstream amp tissue awfully quiet today matter integrity decency apologise atrocious immature behavior proved factually wrong
42,1575218390620602368,former bullied kid creative someone ever got insult somone told look like princess fiona shrek human ugly ogre
43,1575218390117289984,faithandseven loren mary hrrysgreysuit katienicholl thanks providing actual evidence trh william amp catherine racially bullied rachel amp faux kid wa interesting read
45,1575218371905617921,glynisspencer notintheface budrykzack jordanmbking accept role practice self control harry bullied complete invisibility order leave alone
49,1575218342788747264,derekhuber jocelyn_jjf understand attitude imagine would forced stay school kid kid get bullied amp commit suicide go public school would force stay
50,1575218317224120320,first time prince george nine bullied squaddies meghan bullied charlotte year old team ha bullied prince george several time childabuse http co oszoubbvw
51,1575218317047889921,benkeiobsessed twitter man icsaru daylightghoul tenjiku_ someone tell story one bullied int platform
54,1575218259938652160,glad got bullied saying http co jlrlwu hqo
55,1575218245077852160,bee dream big stuff missed practically stream podcasts similar always kept quiet get bullied
60,1575218202610905088,dk bwoodz charliespiering hillaryclinton wa server insecure get made fun bullied lot
61,1575218188010549248,worry guy feeling better wa bullied listening sad playlist britney
64,1575218143500201986,yes gatekeeping redhead spend entire life bullied everyone randomly decide wan na ginger nice
72,1575218030308913152,vratolomej elementary school wa group thing hosted pedagoginja one called manipulative parent cried bullied year old thing made pancake every week
73,1575217978014064640,blossomsauce mybluesunset wa damn mad like sure bullied wa around shit dare keep secret
74,1575217974549413888,massive weekend football team gibraltarfa kick season last day time sit think support one kept silent almost bullied say anything
79,1575217876197584896,happening pivot absolutely look like fed bullied happening wh say pat attn mkts http co kyjco wqps
80,1575217862842540032,mikeclodfelter oh yes wa doxxed nextdoor cyber bullied constantly often imply poor bad money rent car wild make assumption car cost avg year
86,1575217795645976576,foodbad got bullied appearence wa ugliest girl school wanted feel beautiful actually work people always tell beautiful
91,1575217720970584064,sophielouisecc still go defend usefulidiot gb news pundit bullied conservative party amid kfc job jibe http co mum cegnfj
92,1575217668554366976,spiderman__ ballhandman literally account saying im british love porn like please make friend know bullied school trust making friend valuable thing could
93,1575217617199329280,myndtease bullied lot
94,1575217596819210240,ge bpete arabellarober ever say want royal life said never expected came put work year sm royal done year put together vilified sending email bullied amp called name
95,1575217587092598784,bullied taylor lead single choice much never dropping lead single fear http co ktax gxgc
96,1575217566641160192,goggysout c_unextuesday _fraek_ weganmilliamson know men get bullied fir short tall stop double standard
99,1575217513868120064,nocciewoccie wonnnnn bullied enough
101,1575217502719594496,granolasandal believe believe wa bullied religious based school wa often nicer trouble questioning curriculum often understand faith irreligious sect religion bad person
102,1575217481878507520,mercymuroki sorry hear bullied previous generation wa school year student colour term used describe people like coconut condoning said merely offering context
103,1575217475993538560,nah cause sister dead substitute teacher know getting bullied rn
105,1575217429491453953,ariamuhx muhaiminwahid_ tired bullied old people
108,1575217331680079872,lain_skywalker nagatoro people like bullied detective wa good like two episode
110,1575217281813995520,interviewer laugh teenage climate activist admitted flying fiji mom claim wa bullied http co f de al
112,1575217261500997632,social medium rat even bullied anty abike agency sick bunch
113,1575217245520789514,skinskins niklaas theworldindex serious issue bullying bullied online person kyle know mistake mind business gas hot air
114,1575217233403445255,lukasamanic kinda gallo celtic got ta keep sold hauser yet wa rookie last year got bullied easily looked bit slow shot inconsistent trust boston kept matt ryan whose shot looked pure
118,1575217162859720704,none surprise whistleblower rarely listened amp often bullied manager surround sycophant amp best cover concern http co qpoflqgze
119,1575217136506916866,twelveab last two bc wa getting bullied early
123,1575217076096348160,robertcawood shed tear senatorwong bullied colleague much contributed death meangirls
126,1575217026364502016,popbase wa bullied
129,1575216967073529857,bro im fucking pissed friend threw ground ruined clothes jfc cant stop ggetting bullied
131,1575216948312674304,owenjones jessphillips mean politics aside owenjones intellectually bullied fuck taster cry corner somewhere rusty bread knife
132,1575216938065702912,atpeterex got bullied teacher would always beat called selfish would get everything correct math classmate failed wa year old wa dead shy
133,1575216922639028226,every person wa bullied sex act wrestler coached jordan report http co ze mqgqaao
137,1575216848278552576,briarhoes looked acc first tweet choose live place hurricane come every year ppl deserve get bullied online
138,1575216840401625088,finally mako decided put orb main wa hard watching getting bullied champion whenever used shitty wall main instead orb http co bnfjy tcfg
140,1575216818595237894,still talk sometimes believe survived almost year discouraged bullied doubted please going current lab ask help leave know easy
142,1575216788031184896,daisyatz youll get bullied
143,1575216786319888384,lbabie foodie french youtube bully school fb bullied little sister nothing new
144,1575216778871209984,know kid get bullied hard hahahab http co kqhzugfrm
146,1575216744074969097,maxnordau whoever bullied child wa correct done
149,1575216663972413440,loren mary hrrysgreysuit katienicholl william kate george parent racially bullied biracial meghan child need apologize
150,1575216592274993152,foxxnavarro ah know suppose folk want imagine father bullied bos risking life gopro lamp post would job
159,1575216344982704128,_jessemet bullied first
