,id,text
2,1575179099550625792,Biggnbossy yungbabydade ItzBitc ihythreat We stan Nicki reason time BARBZ need show support like bullied people getting back problematic You saw happened blog YouTube wake tf
4,1575179065199591424,Retired one day Mikel Both year I miss combo mikel would sit deep ramires would press high inside opposition half Naaaa I watching jorgi get bullied like retired sex worker http co CVrDk lma
6,1575179056336601089,PopBase bro get bullied
8,1575178980483018754,So dy bullied lol http co RafOAhPVCP http co yVix eyCEi
9,1575178963227267072,Der_Gunnar UkraineUk kamilkazani They bullied shamed zero gas RUSSIA cut screw All talk sending weapon NOT sending ha made DE look worse really
10,1575178958970097665,BoriaMajumdar Isnt bullied shah
11,1575178958865244162,done bullied amp blamed PnB girlfriend killer already prior post social medium smfh
13,1575178874672934912,KevinSabet year old virgin def got bullied high school still opposes something highly benefit many people yet still era nixon Sad man Waste breath book suck
15,1575178860563378176,Shellhead_ og_tigress WTF_OS We bullied Shell
17,1575178831966908416,BigelowBethany SteveAndApril DCSCInc NigelTPacker SystemsCk burleyfires FelixNater samiamiu AZMetals GBmfg_Neil PfaffDena Bewickwren DonnyoSpeaks AReliability GHSdirect go_hourly JulieBasello The_Last_Hurdle LoneStarSUVLimo SocialSMktg Mobileshopco I wa bullied bigger girl growing Bronx I learned fight back Words
18,1575178805475692544,Ninja Fan Bro pls get bullied brother exfriends school bacon pls
19,1575178788463255553,Kid bullied Kid playing chess throw phrase like You gon na horsey hop way one I trying edit next room muffling laughter momlife momswritersclub amwritingromance amrevising
22,1575178739704791040,ittsmayya favvgirI ipsssen trying spread peace defending woman get bullied daily mean obsessed social medium amp celebrity life opinion difference comment since know personally believe whatever want lol
29,1575178540701872130,Canellelabelle Bullied wedding choice dress attire pull kid
32,1575178415539249153,srpcohi Literally proof bullied anyone hearsay joke get cry baby
33,1575178411479539712,Helexzura bullied persuaded
37,1575178279040188416,Eristheeangel lillysthoughts Didn see viral brownie glazed scandal Or testimony black girl sharing bullied school Hailey said N word multiple time She tweeted shut smack back country How close Selena Explain
39,1575178217618481153,tetuben Benjamin I sorry getting Bullied comment Bullying ok It ok MAGA Support whatever Politics want Nobody ha right bully It like chance Lynda Carter either
44,1575178144171970560,sind lla dwayne Additionally I sorry kid bullied Kung Fu San Soo originally Jimmy Woo saved life serval occasion And I went wa age restriction Just parental consent form It lethal brown belt Fyi But self defense ONLY mentally
46,1575178076064927744,NalaThokozane All people said bullied x
